ID,generated_optimized_desc,generated_optimized_desc,fascia,corgeous,need change?
7452,Explore twisting myths and learn how rotation can fill you up in this detox-themed class led by Jill.,Explore twisting myths and learn how rotation can fill you up in this detox-themed class led by Jill.,FALSE,FALSE,FALSE
7453,Discover the different types of stretching and learn how to self-assess your movement category in this class with Jill.,Discover the different types of stretching and learn how to self-assess your movement category in this class with Jill.,FALSE,FALSE,FALSE
7455,"Get ready to roll, release and retrain your thumb in this popular class as Jill breaks down its anatomy and addresses mobility, strength, and over-use weakness.","Get ready to roll, release and retrain your thumb in this popular class as Jill breaks down its anatomy and addresses mobility, strength, and over-use weakness.",FALSE,FALSE,FALSE
7457,"In this Mentor Session, Jill delves into the creation of Yoga Tune Up® and discusses key principles while addressing questions from participants.","In this Mentor Session, Jill delves into the creation of Yoga Tune Up® and discusses key principles while addressing questions from participants.",FALSE,FALSE,FALSE
7460,Transform your Therapy Balls into personal trainers in this class where you'll discover a new way to play ball with your body.,Transform your Therapy Balls into personal trainers in this class where you'll discover a new way to play ball with your body.,FALSE,FALSE,FALSE
7461,"Explore how to support your hips with a mix of practices in this class led by Jill that includes pelvic floor work, dynamic challenges, and self-myofascial release.",Dynamically stretch the breath and retone your respiratory muscles with Jill as she guides you through using a Cour-gous Ball on the diaphragm fasha.,TRUE,FALSE,TRUE
7462,Join Jill in this core-focused class where you'll engage in fun abdominal challenges to tune into your dynamically elastic core.,Join Jill in this core-focused class where you'll engage in fun abdominal challenges to tune into your dynamically elastic core.,FALSE,FALSE,FALSE
7463,Improve your Tree Pose stability and single-leg strength with Jill's class focusing on building grounded hip and foot competence.,Improve your Tree Pose stability and single-leg strength with Jill's class focusing on building grounded hip and foot competence.,FALSE,FALSE,FALSE
7578,Discover how to optimize your knees' performance and reduce stiffness with this self massage rollout by Jill Miller and Kelly Starrett.,Discover how to optimize your knees' performance and reduce stiffness with this self massage rollout by Jill Miller and Kelly Starrett.,FALSE,FALSE,FALSE
1063436,Use Coregeous to support your lumbar and find relief from low back and abdominal tension with Jill's guidance.,Use Cour-gous to support your lumbar and find relief from low back and abdominal tension with Jill's guidance.,FALSE,TRUE,TRUE
7541,"Target discomfort from forward head posture and Upper Crossed Syndrome with Jill's 60-minute class focusing on self-massage release techniques and body tune-up exercises for relief in the upper back, neck, elbows, hands, and jaw.","Target discomfort from forward head posture and Upper Crossed Syndrome with Jill's 60-minute class focusing on self-massage release techniques and body tune-up exercises for relief in the upper back, neck, elbows, hands, and jaw.",FALSE,FALSE,FALSE
107158,Explore multiple ways to practice the Diaphragm Vacuum with Jill to strengthen your body's respiratory mechanics and enhance your core strength.,Explore multiple ways to practice the Diaphragm Vacuum with Jill to strengthen your body's respiratory mechanics and enhance your core strength.,FALSE,FALSE,FALSE
1087808,"Discover how this class with Jill dynamically explores the interplay between the shoulders and spine, helping you mobilize and feel integrated.","Discover how this class with Jill dynamically explores the interplay between the shoulders and spine, helping you mobilize and feel integrated.",FALSE,FALSE,FALSE
1058384,Revitalize your jaw with novel self-massage techniques in this class taught by Jill focusing on the face and jaw.,Revitalize your jaw with novel self-massage techniques in this class taught by Jill focusing on the face and jaw.,FALSE,FALSE,FALSE
1074250,"In this video, Jill guides you through wall-based axial rocks to mobilize the diaphragm and support your low back with a fresh perspective.","In this video, Jill guides you through wall-based axial rocks to mobilize the diaphragm and support your low back with a fresh perspective.",FALSE,FALSE,FALSE
